NSCE  Elapsed_Time  RainFact    Ksat    WM    B    IM    KE    coeM    expM    coeR    coeS    KS    KI  
-1.305044e-01:  39.4531   0.814036  120.632066  253.933230  3.868111  1.922622  1.037609  67.996292  0.567048  0.953311  1.178996  0.256029  1.699506 
-5.294772e-01:  39.9844   0.759646  89.186435  102.135023  4.664646  1.107893  0.668843  15.883222  0.330533  0.727913  0.150365  1.691579  3.756020 
-2.028663e-01:  39.2188   0.874237  165.676248  352.989770  5.994947  3.368103  1.381198  24.404029  0.903100  0.520345  3.227050  0.549501  3.509457 
-6.660282e-01:  39.2813   1.020666  8.950536  253.738693  5.914004  2.639043  1.480931  1.154646  0.521068  1.407478  2.959059  0.983345  2.937317 
-2.890624e-01:  39.4219   0.839449  100.982676  196.642941  4.264339  1.365091  0.927514  60.914035  0.544097  1.050829  1.570749  0.807804  1.260790 
-3.480947e-01:  40.6250   0.912963  105.715702  244.727585  4.425474  1.400516  0.586342  44.615821  0.834251  0.898563  1.052229  1.025981  1.377272 
-1.207659e+00:  40.3750   1.308278  56.127069  341.523105  2.171863  3.997980  0.509854  105.882296  0.682970  1.245031  2.957365  0.831632  2.332552 
-2.921566e-01:  39.7813   1.016145  151.107453  319.070355  3.764927  1.727723  1.080357  58.687246  0.667513  1.008452  1.212907  0.890086  1.205184 
4.007310e-02:  40.0156   1.021131  69.187078  316.536341  0.499387  3.733083  0.690029  121.923863  0.947145  1.315910  3.072293  0.429079  2.810132 
-1.258940e+00:  41.5469   0.676687  120.953216  218.707033  2.339646  3.674462  0.113732  33.736102  0.388907  1.397272  3.303016  1.774719  1.621522 
-3.412612e-01:  41.9531   0.796807  65.460452  163.315961  1.723505  1.890897  0.462315  94.817115  0.429005  0.903474  2.289830  1.042425  1.103727 
-1.234145e-01:  41.4375   0.794963  100.050627  272.693401  3.141485  1.982030  1.180501  126.877311  0.343001  1.123128  0.042370  0.415920  0.788321 
-1.139227e-02:  42.0000   0.968178  128.495494  184.352364  2.346093  2.065834  0.582506  41.325578  0.905971  0.707350  1.760561  0.198686  1.486616 
-2.929019e-01:  41.4688   0.980915  133.782107  409.126983  4.115939  1.133911  0.704750  97.887791  0.741208  1.030868  2.430647  0.769220  1.485264 
-1.587863e+00:  39.0469   1.163640  98.574272  370.606635  4.818469  1.890230  1.227312  20.736767  0.521166  0.970491  0.127596  1.967035  1.814774 
